리뷰자,type1,type2,type3,type4,랭킹
Y1A3N0tsOXB1eElQbG1uMEcrcGhTQT09,복합성,봄웜톤,모공,미백,0
K2RBL3JlemVkMkc1ZXBUZ2Vock5KQT09,지성,웜톤,트러블,피지과다,0
UUhZV2VuN2kxb3Qwa055STJPM3A3UT09,복합성,-,,,0
YmdqSzlZZ2V0V053dzd3M3F0UDhRdz09,복합성,웜톤,다크서클,민감성,0
NDg3WGZSdUdlblBpeEFIY3RRSVF3dz09,-,-,,,940
Zi8xYVd0OFJqdU45aU9iVUExUnVwZz09,-,-,,,0
eFFjT2NrT0dieU1aMFQwc0NYZ3FEZz09,-,-,,,0
SEU4bUtseEFsTU85YUVTTkFDc1pDZz09,-,-,,,0
NGZ1TTgrdmczbDBpZzNNa1BSTlNmZz09,-,-,,,0
NjR1cEQrWEg2MlNFZGlXdFhwMFVuZz09,-,-,,,0
WEN2elhtMjUyU2twM2xRUWx3Qi80Zz09,-,-,,,0
ZDlaU29tN3FxK1VDUkx1eXh6U2ZYZz09,건성,봄웜톤,미백,민감성,0
b29zd25ka2doTXV4cW4wV21zL284QT09,건성,웜톤,민감성,트러블,2410
Ymh1NWVWYURhS01wLzB4SzNsTjFUZz09,건성,가을웜톤,다크서클,민감성,985
ZGlsdjF0NGpyMVdkbGtRU0NNTlZrZz09,건성,봄웜톤,다크서클,모공,0
enlwL2hrSTZSQitLMWVLcHY0MDdhQT09,-,-,,,0
LzBMZUZvMjIrME4ycjY4dW1PeEZrdz09,-,-,,,0
NysvMUQ3VVR3d0YvOG00dVVzRCtRZz09,-,-,,,0
a1VWMWVZM04wanBWOE9XdWJUdC9zZz09,-,-,,,0
aXpPcWRhQmxXZC9kK1lQdENacmF3UT09,-,-,,,1201
cytQQXhHSTJkblRmVm1UN1QxMDR4UT09,중성,가을웜톤,모공,블랙헤드,313
MmFnUTAxZnY3K1BlbkFEYUdQQkRXdz09,복합성,웜톤,각질,다크서클,163
T0lPNmxXSlRZTytYR1c2UUR1UnR3Zz09,약건성,-,모공,,0
bHRyb3huSmJrYXVNaGJiN0xZSm1wUT09,-,-,블랙헤드,,0
MEs4SmNDUUVWSXJjd2ZzVDhSNnRrQT09,지성,웜톤,모공,블랙헤드,0
NHFOc2hnQlVqL2huTFhUbW5tYzRIUT09,복합성,-,민감성,,0
c01rYjJIY3Nva3pBYTdnNU1vdUZQQT09,-,-,,,0
RDBmT1VwU3JmczkxS3JnWG80REtQUT09,민감성,쿨톤,미백,민감성,646
Smk5SURIUVIzLzFNWVFyVkVJeC8vUT09,복합성,웜톤,모공,미백,0
ZWxsWUhmMEpMTC90N0hDTUpkRnZvdz09,복합성,여름쿨톤,모공,민감성,0
Ny9EcDdyN3J5Z2NHZVE4QlJlVzB1UT09,-,-,,,0
STRLbEtBaTVnUmFRenRJRlpFNXBsZz09,-,-,,,0
VjVTd3JXL0FqbkI1V3AwUjcwQXFtZz09,-,-,,,0
QmtGMXJmVkN4Z3BHRW44SHFsNmpRZz09,-,-,,,0
SW1pbHE3SGhxVVJSKy92clBnRHllUT09,-,-,,,0
VnAwVlV2KzNGNmt4K2Q0Ym1KbGlHZz09,-,-,,,0
NlZqSEwzMW9YRmtKNTBMQTROOTk2dz09,-,-,,,0
dklkV0pZS21hUkU3dWdMd01Ta245dz09,-,-,,,0
TlpOakNNZlFaR3k0RHlZNTJ6TzBxQT09,-,-,,,0
d3JDZWgrL2VLYXhuVnAydGozb016UT09,-,-,,,1448
SFV4WmU3eU1IcFpVbDVSUU16S2JzQT09,건성,웜톤,다크서클,모공,292
STBzbGNPcXZjcXZMYkFxbkQyblF0UT09,지성,가을웜톤,각질,다크서클,0
T2E0WDdIMnpPbUprNGZoTjBHUzVwdz09,건성,웜톤,각질,민감성,483
MjI3QytBY0RTck8yR3NLR0tCV054QT09,복합성,쿨톤,잡티,,0
SklwWTE2cUJmWXpieGdJdnZ5RjN1QT09,복합성,웜톤,주름,트러블,0
